ae	en	0
af	en	0
as	en	1
ax	fi	1
ax	sv	0
aw	nl	1
aw	pap	0
ba	bs	1
bd	en	0
bh	en	0  
bi	fr	1
bo	es	1
bo	qu	0
bo	ay	0
bq	pap	1
bq	nl	0
bw	en	1
ca	en	1
ca	fr	0
ca	iu	0
ca	ikt	0
cf	fr	1
cm	fr	1
cn	en	0
cw	nl	1
cw	pap	0
cw	en	0
cy	el	1
cy	tr	1
cy	en	0
dj	fr	1
dz	fr	1
ec	es	1
ec	qu	0
eg	en	0
er	en	1
fj	en	1
fi	fi	1
fi	sv	0
ge	ru	0
ge	en	0
gg	en	1
gg	fr	1
gq	es	1
gr	en	0
gu	en	1
ht	fr	1
id	en	0
ie	en	1
ie	ga	0
il	he	1
il	ar	0
il	en	0
im	en	1
im	gv	0
je	en	1
je	fr	1
in	en	1
in	hi	0
iq	en	0
ir	en	0
jo	en	0
jp	en	0
ke	en	1
kg	ky	1
kg	ru	0
ki	en	1
km	fr	1
kk	kz	1
kw	en	0
kz	ru	0
la	en	0
la	fr	0
lb	en	0
li	de	1
lk	si	1
lk	en	0
ls	en	1
ly	en	0
ma	fr	1
ma	ar	1
mg	mg	1
mg	fr	0
mg	en	0
mh	en	1
mt	mt	1
mt	en	0
mu	en	1
mu	fr	0
mw	en	1
na	en	1
na	af	0
ng	en	1
no	nb	1
nr	en	1
np	en	0
nu	en	1
nz	en	1
nz	mi	0
om	en	0
pe	es	1
pe	qu	0
pf	fr	1
pg	en	1
ph	en	1
ph	fil	0
ph	es	0
pk	en	1
pk	ur	0
pr	es	1
pr	en	0
ps	en	0
pw	en	1
py	es	1
py	gn	0
qa	en	0
rw	en	1
sa	en	0
sd	en	1
sd	ar	1
sg	en	1
sg	ms	0
sg	zh	0
sn	fr	1
so	so	1
so	it	0
so	en	0
so	ar	0
sy	ar	1
sy	fr	0
sy	en	0
sz	en	1
tl	pt	1
td	ar	1
td	fr	0
td	en	0
th	en	0
tn	fr	1
tn	ar	1
to	to	1
to	en	0
tv	tvl	1
tv	en	0
tz	en	1
ua	uk	1
ua	ru	0
ug	en	1
uk	uk	1
uk	ru	0
us	es	0
us	fr	0
vi	da	0
ws	en	1
ye	en	0
zw	en	1
