ac	en	Dsrt,Shaw	99.0	0
ad	ca	Latn	51.0	1
ae	ar	Arab	78.0	1
af	fa	Arab	50.0	1
af	ps	Arab	43.0	1
af	uz	Arab,Cyrl,Latn	4.7	0
af	tk	Arab,Cyrl,Latn	1.7	0
af	bal	Latn	0.67	0
ag	en	Latn	86.0	1
ai	en	Latn	95.0	1
al	sq	Latn	100.0	1
am	hy	Armn	98.0	1
ao	pt	Latn	67.0	1
ar	es	Latn	100.0	1
as	sm	Latn	99.0	1
as	en	Latn	97.0	1
at	de	Latn	97.0	1
at	hr	Latn	1.2	0
at	sl	Latn	0.37	0
at	hu	Latn	0.27	0
au	en	Latn	96.0	1
aw	nl	Latn	97.0	1
aw	pap	Latn	61.0	1
ax	sv	Latn	99.0	1
az	az	Arab,Cyrl,Latn	98.9	1
ba	bs	Cyrl,Latn	100.0	1
ba	sr	Cyrl,Latn	20.0	1
ba	hr	Latn	12.0	1
bb	en	Latn	100.0	1
bd	bn	Beng	98.0	1
be	nl	Latn	55.0	1
be	fr	Latn	38.0	1
be	de	Latn	1.4	1
bf	fr	Latn	22.0	1
bg	bg	Cyrl	100.0	1
bh	ar	Arab	87.0	1
bi	rn	Latn	63.0	1
bi	fr	Latn	59.0	1
bj	fr	Latn	35.0	1
bl	fr	Latn	94.0	1
bm	en	Latn	92.0	1
bn	ms	Arab,Latn	98.0	1
bo	es	Latn	61.0	1
bo	qu	Latn	32.0	1
bo	ay	Latn	20.0	1
bq	nl	Latn	8.0	1
br	pt	Latn	91.0	1
bs	en	Latn	100.0	1
bt	dz	Tibt	47.0	1
bw	en	Latn	81.0	1
bw	tn	Latn	62.0	1
by	be	Cyrl	100.0	1
by	ru	Cyrl	12.0	1
bz	en	Latn	100.0	1
ca	en	Latn	85.0	1
ca	fr	Latn	22.0	1
ca	iu	Cans,Latn	0.084	0
ca	ikt	Latn	0.011	0
cc	en	Latn	17.0	1
cd	sw	Latn	50.0	0
cd	lua	Latn	9.6	0
cd	fr	Latn	3.8	1
cd	ln	Latn	3.1	0
cd	kg	Latn	1.5	0
cf	fr	Latn	49.0	1
cf	sg	Latn	49.0	1
cg	fr	Latn	84.0	1
ch	de	Latn	73.0	1
ch	fr	Latn	21.0	1
ch	gsw	Latn	12.0	1
ch	it	Latn	4.3	1
ch	rm	Latn	0.5	0
ci	fr	Latn	49.0	1
ck	en	Latn	95.0	1
cl	es	Latn	98.0	1
cm	fr	Latn	68.0	1
cm	en	Latn	14.0	1
cn	zh	Hans,Hant	90.0	1
cn	ug	Latn	0.55	0
cn	za	Hans	0.31	0
cn	mn	Phag	0.26	0
cn	bo	Tibt	0.2	0
cn	ko	Kore	0.15	0
co	es	Latn	93.0	1
cr	es	Latn	95.0	1
cu	es	Latn	100.0	1
cv	pt	Latn	76.0	1
cw	pap	Latn	81.0	1
cw	nl	Latn	8.0	1
cx	en	Latn	92.0	1
cy	el	Grek	75.0	1
cy	tr	Latn	23.0	1
cz	cs	Latn	98.0	1
de	de	Latn	91.0	1
dg	en	Latn	99.0	1
dj	ar	Arab	7.3	1
dj	fr	Latn	2.1	1
dk	da	Latn	93.0	1
dk	de	Runr	0.43	0
dk	kl	Latn	0.13	0
dm	en	Latn	94.0	1
do	es	Latn	78.0	1
dz	ar	Arab	74.0	1
dz	fr	Latn	20.0	1
ea	es	Latn	98.0	1
ec	es	Latn	96.0	1
ec	qu	Latn	17.0	1
ee	et	Latn	71.0	1
eg	ar	Arab	94.0	1
eh	ar	Arab	100.0	1
er	ti	Ethi	60.0	1
er	en	Latn	59.0	1
er	ar	Arab	4.9	1
es	es	Latn	99.0	1
es	ca	Latn	17.0	0
es	gl	Latn	7.0	0
es	eu	Latn	2.0	0
es	ast	Latn	1.3	0
et	am	Ethi	33.0	1
fi	fi	Latn	94.0	1
fi	sv	Latn	5.7	1
fj	en	Latn	94.0	1
fj	hif	Deva,Latn	41.0	1
fj	fj	Latn	39.0	1
fk	en	Latn	99.0	1
fm	en	Latn	5.1	1
fo	fo	Latn	95.0	1
fr	fr	Latn	99.0	1
ga	fr	Latn	63.0	1
gb	en	Latn	99.0	1
gb	cy	Latn	0.77	0
gb	gd	Latn	0.099	0
gb	ga	Latn	0.026	0
gd	en	Latn	96.0	1
ge	ka	Geor	86.0	1
ge	ab	Cyrl	2.2	0
ge	os	Cyrl	2.2	0
gf	fr	Latn	77.0	1
gg	en	Latn	100.0	1
